Время,Пользователь,Действие,Название,Количество
2025-01-23 11:54:15,admin,Добавление,CS-щелочной детергент - 2*2л (CS-alkaline detergent),8
2025-01-23 11:54:27,admin,Добавление,Антибактериальный бесфосфорный детергент - 2*500мл (CS-anti-bacterial phosphor-free detergent),7
2025-01-23 11:54:38,admin,Добавление,Детегрент ИСБ (ISE detergent) 100 мл.,1
2025-01-23 12:11:07,user,Списание,CS-щелочной детергент - 2*2л (CS-alkaline detergent),2
2025-01-23 12:11:13,user,Списание,Антибактериальный бесфосфорный детергент - 2*500мл (CS-anti-bacterial phosphor-free detergent),5
2025-01-23 12:11:17,user,Списание,CS-щелочной детергент - 2*2л (CS-alkaline detergent),1
2025-01-23 12:11:21,user,Списание,Детегрент ИСБ (ISE detergent) 100 мл.,1
2025-01-23 12:19:04,user,Списание,Антибактериальный бесфосфорный детергент - 2*500мл (CS-anti-bacterial phosphor-free detergent),2
2025-01-23 12:21:34,admin,Добавление,Антибактериальный бесфосфорный детергент - 2*500мл (CS-anti-bacterial phosphor-free detergent),5
2025-01-23 12:24:36,admin,Добавление,Антибактериальный бесфосфорный детергент - 2*500мл (CS-anti-bacterial phosphor-free detergent),2
2025-01-23 12:24:58,admin,Добавление,Детегрент ИСБ (ISE detergent) 100 мл.,10
